Date,AllSharePriceIndex,SL20Index,ForeignPurchases,ForeignSales,GoldPrice,USDSpotRate,CrudeOilFuturesPricesBrent,CrudeOilFuturesPricesWTI,CrudeOilOPECPrice,364TBillsRate,Liquidity
9/1/20,,,,,,,,,,,
9/2/20,"5,359.99","2,348.36",43.92,686.47,"365,894.93",186.1,42.7,42.76,45.02,4.89,187.16
9/3/20,"5,350.85","2,343.81",48.8,68.51,"361,498.54",185.42,42.72,41.39,43.36,4.89,189.38
9/4/20,"5,311.42","2,321.57",91.25,297.22,"359,285.07",185.23,41.1,39.69,43.42,4.88,191.69
9/5/20,,,,,,,,,,,
9/6/20,,,,,,,,,,,
9/7/20,"5,310.67","2,307.89",9.47,37.94,"359,012.92",185.21,40.67,39.69,41.64,4.87,191.76
9/8/20,"5,316.05","2,307.64",19.7,258.37,"355,976.82",184.78,38.53,36.87,40.29,4.87,189.03
9/9/20,"5,370.39","2,334.76",48.27,"1,341.67","355,521.36",184.4,39.98,38.05,39.82,4.87,187.77
9/10/20,"5,399.54","2,342.85",76.55,289.13,"358,686.11",184.35,39.27,37.25,39.83,4.51,202.39
9/11/20,"5,438.91","2,359.24",194.55,385.66,"359,431.99",184.74,38.8,37.33,39.37,4.86,199.63
9/12/20,,,,,,,,,,,
9/13/20,,,,,,,,,,,
9/14/20,"5,490.60","2,382.77",359.84,430.08,"359,769.15",184.55,38.57,37.23,38.96,4.86,181.45
9/15/20,"5,533.69","2,389.33",50.94,"1,021.12","361,954.23",184.21,39.54,38.29,39.35,4.86,180.08
9/16/20,"5,585.40","2,406.36",159.63,495.66,"361,130.10",184.41,41.23,40.17,41.29,4.68,170.02
9/17/20,"5,658.66","2,480.07",92.94,334.98,"360,237.83",184.89,42.35,40.99,42.07,4.86,172.59
9/18/20,"5,720.67","2,512.40",295.53,757.14,"361,060.42",184.96,42.16,41.09,42.98,4.88,157.07
9/19/20,,,,,,,,,,,
9/20/20,,,,,,,,,,,
9/21/20,"5,762.71","2,511.72",184.4,585.45,"362,196.44",185.39,40.37,39.26,41.49,4.88,155.59
9/22/20,"5,780.94","2,492.35",90.35,199.4,"353,733.81",185.33,40.84,39.55,41.32,4.88,157.66
9/23/20,"5,772.10","2,486.01",74.61,189.67,"352,529.73",185.38,41.09,39.92,41.4,4.69,164.89
9/24/20,"5,811.20","2,481.92",254.29,772.23,"344,702.48",185.1,41.24,40.11,41.22,4.72,163.47
9/25/20,"5,859.04","2,482.08",335.26,693.24,"345,312.08",185.02,40.91,40.06,41.93,4.89,188.97
9/26/20,,,,,,,,,,,
9/27/20,,,,,,,,,,,
9/28/20,"6,028.20","2,495.72",38.31,117.73,"344,629.42",185.2,41.59,40.47,41.61,4.89,171.42
9/29/20,"5,993.55","2,476.11",56.56,"1,240.60","349,523.31",185.28,40.33,39.03,41.46,4.89,188.46
9/30/20,"5,984.84","2,463.27",46.59,115.17,"351,684.70",185.52,40.3,40.05,40.65,4.89,187.03
10/1/20,,,,,,,39.75,38.51,,,
10/2/20,"6,050.17","2,454.43",85.15,745.24,"350,948.17",184.95,38,36.9,38.09,4.88,139.4
10/3/20,,,,,,,,,,,
10/4/20,,,,,,,,,,,
10/5/20,"5,587.18","2,288.51",59.2,201.96,"350,360.00",184.57,39.78,39.12,39.07,4.88,136.45
10/6/20,"5,534.61","2,272.22",92.08,68.95,"352,993.22",184.76,41.27,40.52,40.33,4.88,160.02
10/7/20,"5,553.22","2,272.89",87.42,"1,156.63","347,319.45",184.71,40.62,39.82,40.45,4.88,149.67
10/8/20,"5,724.54","2,317.15",57.68,891.3,"348,058.00",184.47,42,41.04,41.06,4.88,166.51
